Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2003,"Liquefied Petroleum Gas (LPG)",Colorado,0,0,"Light Duty",Pickups,Non-dedicated,"Natural Gas Providers",CO
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Low Speed Vehicles",Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Low Speed Vehicles",Dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Low Speed Vehicles",Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Wyoming,0,0,"Light Duty","Low Speed Vehicles",Non-dedicated,"Natural Gas Providers",WY
2003,"Liquefied Petroleum Gas (LPG)",Michigan,0,0,"Light Duty",SUVs,Non-dedicated,"Natural Gas Providers",MI
2003,"Liquefied Petroleum Gas (LPG)",Michigan,0,0,"Light Duty",SUVs,Dedicated,"Natural Gas Providers",MI
2003,"Liquefied Petroleum Gas (LPG)",Michigan,0,0,"Light Duty",SUVs,Non-dedicated,"Natural Gas Providers",MI
2003,"Liquefied Petroleum Gas (LPG)",Michigan,0,0,"Light Duty",SUVs,Non-dedicated,"Natural Gas Providers",MI
2003,"Liquefied Petroleum Gas (LPG)",Michigan,0,0,"Light Duty",Trucks,Non-dedicated,"Natural Gas Providers",MI
2003,"Liquefied Petroleum Gas (LPG)",Michigan,0,0,"Light Duty",Trucks,Dedicated,"Natural Gas Providers",MI
2003,"Liquefied Petroleum Gas (LPG)",Michigan,0,0,"Light Duty",Trucks,Non-dedicated,"Natural Gas Providers",MI
2003,"Liquefied Petroleum Gas (LPG)",Virginia,0,0,"Light Duty",Trucks,Non-dedicated,"Natural Gas Providers",VA
2003,"Liquefied Petroleum Gas (LPG)",Virginia,0,0,"Light Duty",Trucks,Dedicated,"Natural Gas Providers",VA
2003,"Liquefied Petroleum Gas (LPG)",Virginia,0,0,"Light Duty",Trucks,Non-dedicated,"Natural Gas Providers",VA
2003,"Liquefied Petroleum Gas (LPG)",Vermont,0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",VT
2003,"Liquefied Petroleum Gas (LPG)",Vermont,0,0,"Heavy Duty",Buses,Dedicated,"Natural Gas Providers",VT
2003,"Liquefied Petroleum Gas (LPG)",Vermont,0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",VT
2003,"Liquefied Petroleum Gas (LPG)",Vermont,0,0,"Heavy Duty",Trucks,Non-dedicated,"Natural Gas Providers",VT
2003,"Liquefied Petroleum Gas (LPG)",Vermont,0,0,"Heavy Duty",Trucks,Dedicated,"Natural Gas Providers",VT
2003,"Liquefied Petroleum Gas (LPG)",Vermont,0,0,"Heavy Duty",Trucks,Non-dedicated,"Natural Gas Providers",VT
2003,"Liquefied Petroleum Gas (LPG)",Vermont,0,0,"Heavy Duty",Trucks,Non-dedicated,"Natural Gas Providers",VT
2003,"Liquefied Petroleum Gas (LPG)",Delaware,0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",DE
2003,"Liquefied Petroleum Gas (LPG)",Delaware,0,0,"Heavy Duty",Buses,Dedicated,"Natural Gas Providers",DE
2003,"Liquefied Petroleum Gas (LPG)",Delaware,0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",DE
2003,"Liquefied Petroleum Gas (LPG)",Delaware,0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",DE
