Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Ethanol, 85 percent (E85)",Kansas,72,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",KS
2017,"Ethanol, 85 percent (E85)",Kansas,50,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",KS
2017,"Ethanol, 85 percent (E85)",Kansas,3,0,"Light Duty",Trucks,Non-dedicated,"State Agencies",KS
2017,"Ethanol, 85 percent (E85)",Kansas,11,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",KS
2017,"Ethanol, 85 percent (E85)",Kansas,71,0,"Medium Duty",Trucks,Non-dedicated,"State Agencies",KS
2017,"Ethanol, 85 percent (E85)",Kentucky,89,1,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",KY
2017,"Ethanol, 85 percent (E85)",Kentucky,244,2,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",KY
2017,"Ethanol, 85 percent (E85)",Kentucky,85,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",KY
2017,"Ethanol, 85 percent (E85)",Kentucky,948,4,"Light Duty",Pickups,Non-dedicated,"State Agencies",KY
2017,"Ethanol, 85 percent (E85)",Kentucky,318,3,"Light Duty",SUVs,Non-dedicated,"State Agencies",KY
2017,"Ethanol, 85 percent (E85)",Kentucky,120,1,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",KY
2017,"Ethanol, 85 percent (E85)",Louisiana,740,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",LA
2017,"Ethanol, 85 percent (E85)",Louisiana,1689,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",LA
2017,"Ethanol, 85 percent (E85)",Louisiana,549,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",LA
2017,"Ethanol, 85 percent (E85)",Massachusetts,6,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",MA
2017,"Ethanol, 85 percent (E85)",Massachusetts,154,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",MA
2017,"Ethanol, 85 percent (E85)",Massachusetts,8,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",MA
2017,"Ethanol, 85 percent (E85)",Massachusetts,224,1,"Light Duty",Pickups,Non-dedicated,"State Agencies",MA
2017,"Ethanol, 85 percent (E85)",Massachusetts,39,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",MA
2017,"Ethanol, 85 percent (E85)",Massachusetts,2,0,"Light Duty",Trucks,Non-dedicated,"State Agencies",MA
2017,"Ethanol, 85 percent (E85)",Massachusetts,27,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",MA
2017,"Ethanol, 85 percent (E85)",Massachusetts,84,0,"Medium Duty",Pickups,Non-dedicated,"State Agencies",MA
2017,"Ethanol, 85 percent (E85)",Maryland,1344,925,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",MD
2017,"Ethanol, 85 percent (E85)",Maryland,902,408,"Light Duty",Pickups,Non-dedicated,"State Agencies",MD
2017,"Ethanol, 85 percent (E85)",Maryland,414,306,"Light Duty",SUVs,Non-dedicated,"State Agencies",MD
2017,"Ethanol, 85 percent (E85)",Maryland,126,74,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",MD
2017,"Ethanol, 85 percent (E85)",Maine,59,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",ME
2017,"Ethanol, 85 percent (E85)",Maine,70,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",ME
2017,"Ethanol, 85 percent (E85)",Maine,547,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",ME
2017,"Ethanol, 85 percent (E85)",Maine,20,0,"Light Duty",SUVs,Non-dedicated,"State Agencies",ME
2017,"Ethanol, 85 percent (E85)",Maine,137,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",ME
2017,"Ethanol, 85 percent (E85)",Maine,13,0,"Medium Duty",Trucks,Non-dedicated,"State Agencies",ME
2017,"Ethanol, 85 percent (E85)",Michigan,114,5,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",MI
2017,"Ethanol, 85 percent (E85)",Michigan,1471,6,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",MI
2017,"Ethanol, 85 percent (E85)",Michigan,1311,8,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",MI
2017,"Ethanol, 85 percent (E85)",Michigan,1425,2,"Light Duty",Pickups,Non-dedicated,"State Agencies",MI
2017,"Ethanol, 85 percent (E85)",Michigan,977,3,"Light Duty",SUVs,Non-dedicated,"State Agencies",MI
2017,"Ethanol, 85 percent (E85)",Michigan,2,0,"Light Duty",Trucks,Non-dedicated,"State Agencies",MI
2017,"Ethanol, 85 percent (E85)",Michigan,1334,31,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",MI
2017,"Ethanol, 85 percent (E85)",Michigan,397,1,"Medium Duty",Pickups,Non-dedicated,"State Agencies",MI
2017,"Ethanol, 85 percent (E85)",Michigan,33,0,"Medium Duty",Trucks,Non-dedicated,"State Agencies",MI
2017,"Ethanol, 85 percent (E85)",Minnesota,2,1,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",MN
2017,"Ethanol, 85 percent (E85)",Minnesota,927,42,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",MN
2017,"Ethanol, 85 percent (E85)",Minnesota,532,21,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",MN
2017,"Ethanol, 85 percent (E85)",Minnesota,1,0,"Light Duty",Motorcycles,Non-dedicated,"State Agencies",MN
2017,"Ethanol, 85 percent (E85)",Minnesota,1419,227,"Light Duty",Pickups,Non-dedicated,"State Agencies",MN
2017,"Ethanol, 85 percent (E85)",Minnesota,881,53,"Light Duty",SUVs,Non-dedicated,"State Agencies",MN
2017,"Ethanol, 85 percent (E85)",Minnesota,606,58,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",MN
2017,"Ethanol, 85 percent (E85)",Minnesota,350,103,"Medium Duty",Pickups,Non-dedicated,"State Agencies",MN
2017,"Ethanol, 85 percent (E85)",Minnesota,38,26,"Medium Duty",Trucks,Non-dedicated,"State Agencies",MN
2017,"Ethanol, 85 percent (E85)",Missouri,1,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",MO
2017,"Ethanol, 85 percent (E85)",Missouri,18,1,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",MO
2017,"Ethanol, 85 percent (E85)",California,24,0,"Heavy Duty",Trucks,Non-dedicated,"State Agencies",CA
2017,"Ethanol, 85 percent (E85)",California,7,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",CA
2017,"Ethanol, 85 percent (E85)",California,3617,9,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",CA
2017,"Ethanol, 85 percent (E85)",California,322,1,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",CA
